mr,ref
"suggest(name[Portal 2], developer[Valve Corporation])","I was wondering something, have you played any of the games developed by Valve Corporation, such as Portal 2?"
"suggest(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios])","I was curious, have you played any games made by Ensemble Studios, such as Age of Empires II: The Age of Kings?"
"suggest(name[NBA 2K16], esrb[E 10+ (for Everyone 10 and Older)], genres[sport])","Do you also like sports games rated E 10+ (for Everyone 10 and Older), such as NBA 2K16?"
"suggest(name[Age of Empires II: The Age of Kings], player_perspective[bird view])","Do you have any experience playing games with a bird view perspective, like Age of Empires II: The Age of Kings?"
"suggest(name[Bus Driver], esrb[E (for Everyone)], available_on_steam[yes])","Have you played any of the E rated games that are available on Steam, like Bus Driver?"
"suggest(name[The Witcher 3: Wild Hunt], genres[action-adventure, role-playing], player_perspective[third person])","Are third person action-adventure RPGs, like The Witcher 3: Wild Hunt, something you enjoy?"
"suggest(name[RollerCoaster Tycoon], release_year[1999], platforms[PC])","Are you also into PC games from 1999, like RollerCoaster Tycoon?"
"suggest(name[Super Bomberman], esrb[E (for Everyone)], player_perspective[bird view])","Do you like bird's eye view games rated E (for Everyone), such as Super Bomberman?"
"suggest(name[The Witcher 3: Wild Hunt], release_year[2015], esrb[M (for Mature)])","Have you played any M rated games that came out in the year 2015, like The Witcher 3: Wild Hunt?"
"suggest(name[Guitar Hero: Smash Hits], genres[music])","Do you like music games, such as Guitar Hero: Smash Hits?"
"suggest(name[Dirt: Showdown], release_year[2012], developer[Codemasters Southam])","Say, are you into Codemasters Southam, they made 2012's Dirt: Showdown, for example."
"suggest(name[Might & Magic: Heroes VI], available_on_steam[yes])","Okay so now I'm curious, have you ever played a game on Steam, like for example Might & Magic: Heroes VI?"
"suggest(name[Portal 2], platforms[PlayStation])","Do you like other PlayStation games, like Portal 2?"
"suggest(name[Tetris], release_year[1986])","Do you remember playing any games from 1986, for example Tetris?"
"suggest(name[BioShock], has_mac_release[yes])","Do you prefer playing games available on Mac, like BioShock?"
"suggest(name[Worms: Reloaded], available_on_steam[yes])","I bet you like it when you can play games on Steam, like Worms: Reloaded, right?"
"suggest(name[Dirt: Showdown], genres[driving/racing, sport], has_multiplayer[yes])","I was just wondering if you also like any sport racing games that have multiplayer, such as Dirt: Showdown?"
"suggest(name[Max Payne], esrb[M (for Mature)], platforms[Xbox])",Do you like M rated games on the Xbox like Max Payne?
"suggest(name[Metro 2033], esrb[M (for Mature)], genres[action, role-playing, shooter])","Do you like action role-playing shooters that are rated M (for Mature), such as Metro 2033?"
"suggest(name[Resident Evil 4], available_on_steam[yes])","Have you tried out games on Steam, like Resident Evil 4?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd])","Have you given any games from Team17 Digital Ltd a try, such as that one, Worms: Reloaded?"
"verify_attribute(name[Quantum Break], developer[Remedy Entertainment], esrb[M (for Mature)], rating[average])",You said earlier that Quantum Break was simply average. Do you commonly feel lukewarm about M (for Mature) rated games from Remedy Entertainment?
"verify_attribute(name[The Forest of Doom], release_year[2014], developer[Tin Man Games], rating[average])",You said earlier that you found The Forest of Doom to be average. Would you say this is a common feeling when considering titles developed by Tin Man Games from 2014?
"verify_attribute(name[Guitar Hero: Smash Hits], rating[poor], player_perspective[first person], has_multiplayer[yes])",Earlier you said that you disliked Guitar Hero: Smash Hits. Is it frequent that you would avoid first person perspective games with multiplayer?
"verify_attribute(name[The Legend of Zelda: Ocarina of Time], release_year[1998], rating[excellent], platforms[Nintendo])",You said you felt The Legend of Zelda: Ocarina of Time was a really excellent game. Would you say that 1998 was just the right time for such a game to be released for the Nintendo?
"verify_attribute(name[Max Payne], rating[good], genres[action-adventure, shooter], platforms[PC])","You mentioned earlier that you enjoyed Max Payne. Generally, are you a fan of action-adventure games for PC with shooting gameplay?"
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter])",I remember you saying that you really dug Uncharted 4: A Thief's End. Do you like to play action-adventure shooters from Naughty Dog?
"verify_attribute(name[Driver], release_year[1999], rating[average], platforms[PC])","So in our conversation earlier, you mentioned that you felt Driver was a completely average game. Would you say that PC games from 1999 don't have quite as much to offer nowadays?"
"verify_attribute(name[Tetris], release_year[1986], rating[excellent], platforms[Nintendo])","You said that Tetris was one of your all time favorite games. Was 1986 a great year for Nintendo games overall, or was it just this game?"
"verify_attribute(name[Life is Strange], developer[Dontnod Entertainment], esrb[M (for Mature)], rating[good])",I remember that you liked Life is Strange. Would you say Dontnod Entertainment's games are worth a try when they have the M (for Mature) label?
"verify_attribute(name[Tetris], rating[excellent], genres[arcade, puzzle, strategy], player_perspective[side view])",You mentioned that Tetris is one of your favorite games. Do you in general love arcade puzzle games full of strategy and played from a side view perspective?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], player_perspective[bird view], has_multiplayer[yes])",You said earlier that you liked Commandos: Behind Enemy Lines. Are you a fan in general of multiplayer games with a bird view perspective?
"verify_attribute(name[The Forest of Doom], rating[average], genres[role-playing, text adventure], has_linux_release[yes])",You mentioned you thought The Forest of Doom was average. Are you usually not very impressed by role-playing text adventure games for Linux?
"verify_attribute(name[Assassin's Creed Chronicles: India], developer[Climax Studios], rating[poor], has_multiplayer[no])","I know you mentioned not liking Assassin's Creed Chronicles: India. I'm curious, do you think all of Climax Studios' single-player only games are bad?"
"verify_attribute(name[Tomb Raider: The Last Revelation], release_year[1999], rating[good], genres[action-adventure, puzzle, shooter])",So you like playing Tomb Raider: The Last Revelation. Do you feel like 1999 was a good year for action-adventure shooter games with puzzles?
"verify_attribute(name[Far Cry 3], developer[Ubisoft Massive], rating[good], platforms[PC])",I remember you saying that you enjoyed Far Cry 3. In general are you fond of PC games from Ubisoft Massive?
"verify_attribute(name[Need for Speed: Payback], release_year[2017], developer[Ghost Games], rating[poor])",Previously we've talked about how you didn't like Need for Speed: Payback. Do you have the same feeling about other games Ghost Games made in 2017?
"verify_attribute(name[Stronghold 2], rating[average], has_multiplayer[yes], available_on_steam[yes])",You previously mentioned that Stronghold 2 was merely average. Are you usually unimpressed with multiplayer games on Steam?
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], player_perspective[third person], has_multiplayer[yes])",You said that you really liked Uncharted 4: A Thief's End. Do you generally like to play third person multiplayer games?
"verify_attribute(name[Rollcage], developer[Attention To Detail], rating[average], genres[action, driving/racing])",I remember you telling me that you didn't feel too strongly about Rollcage. But does that opinion also hold true for other action racing games by Attention To Detail?
"verify_attribute(name[Silent Hill 2], rating[excellent], genres[action-adventure, puzzle], player_perspective[third person])",I think you mentioned having an excellent time when you played Silent Hill 2. Do you generally enjoy all third person action-adventure games with puzzles in them?
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",Are you often pleased with M rated games or is it just The Elder Scrolls V: Skyrim?
"verify_attribute(name[Small World 2], release_year[2010], rating[poor], platforms[PC])",You said you didn't really like Small World 2. Weren't there any other PC games released in 2010 that you liked?
"verify_attribute(name[Lara Croft and the Temple of Osiris], developer[Crystal Dynamics], rating[average], genres[action-adventure, puzzle, shooter])",You said earlier that you found Lara Croft and the Temple of Osiris to be average. Is this sentiment common for action-adventure games from Crystal Dynamics with puzzles and shooting?
"verify_attribute(name[Small World 2], rating[poor], genres[indie, trivia/board game], has_mac_release[yes])",Previously you mentioned hating Small World 2. Are you generally not about indie trivia/board games on Mac?
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], platforms[PlayStation])",You told me Uncharted 4: A Thief's End was awesome. Does that go for a lot of other games out on PlayStation?
"verify_attribute(name[Need for Speed: The Run], developer[Firebrand Games], rating[average], genres[driving/racing])",You said before that you felt so-so about Need for Speed: The Run. Do you feel the same about other driving or racing games from Firebrand Games?
"verify_attribute(name[The Legend of Zelda: Ocarina of Time], release_year[1998], rating[excellent], platforms[Nintendo])",I remember how much you dug The Legend of Zelda: Ocarina of Time from 1998. Do you generally dig other similar Nintendo game?
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], esrb[M (for Mature)], rating[good])","You seem to enjoy Ubisoft Montreal's M rated games like Assassin's Creed II, does that sound right?"
"verify_attribute(name[Skyforge], release_year[2015], rating[poor], platforms[PC])",You said that you disliked Skyforge. Is this the case for all PC games in 2015?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], platforms[PlayStation])",So you mentioned Need for Speed: Most Wanted was fun. Is PlayStation the platform on which you enjoy playing racing games the most?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], genres[strategy, tactical], platforms[PC])",I know you like Commandos: Behind Enemy Lines. Do you think there is an abundance of good tactical strategy games for the PC?
"verify_attribute(name[Max Payne], developer[Remedy Entertainment], esrb[M (for Mature)], rating[good])","So you found Max Payne to be enjoyable to play, if I remember right. Do you also enjoy Remedy Entertainment's other M rated games?"
"verify_attribute(name[Need for Speed: The Run], developer[Firebrand Games], rating[average], genres[driving/racing])",I know you feel that Need for Speed: The Run was a merely average game. Do you not trust Firebrand Games with their driving/racing all that much?
"verify_attribute(name[Need for Speed: The Run], release_year[2011], rating[average], platforms[Xbox])",You said earlier that you thought Need for Speed: The Run was just average. Are you commonly unimpressed by Xbox games from 2011?
"verify_attribute(name[Little Nightmares], developer[Tarsier Studios], rating[good], genres[adventure, platformer, puzzle])",I remember you telling me that Little Nightmares was a good game. Do you normally like adventure platformers with puzzle elements that are developed by Tarsier Studios?
"verify_attribute(name[The Forest of Doom], developer[Tin Man Games], rating[average])",You said that The Forest of Doom was not quite worth the money. Do you feel the same way about all the games made by Tin Man Games?
"verify_attribute(name[Assassin's Creed II], developer[Ubisoft Montreal], esrb[M (for Mature)], rating[good])","You like Assassin's Creed II right? Assassin's Creed II is created by Ubisoft Montreal, I heard it is rated M, right?"
"verify_attribute(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG], player_perspective[third person])",You mentioned disliking Skyforge. Are you typically unhappy with third person MMORPGs with adventure and hack-and-slash gameplay?
"verify_attribute(name[Tetris], rating[excellent], genres[arcade, puzzle, strategy], player_perspective[side view])",You said that you really enjoyed Tetris. Do you frequently like to play side view puzzle and strategy arcade games?
"verify_attribute(name[Rollcage], rating[average], genres[action, driving/racing], player_perspective[third person])",You mentioned just a bit ago that you found Rollcage to be average. Do you feel similarly about third person action racing games in general?
"verify_attribute(name[Life is Strange], developer[Dontnod Entertainment], esrb[M (for Mature)], rating[good])","Previously you told me that you like Life is Strange developed by Dontnod Entertainment, is that the case with all M- rated videogames?"
"verify_attribute(name[The Forest of Doom], developer[Tin Man Games], rating[average])",You said that you found The Forest of Doom to be so-so in quality. Do you feel similarly about the other games developed by Tin Man Games
"verify_attribute(name[Tomb Raider: The Last Revelation], developer[Core Design], rating[good], platforms[PlayStation])",You mentioned that you liked Tomb Raider: The Last Revelation. Are you generally fond of PlayStation games from Core Design?
"verify_attribute(name[Life is Strange], rating[good], player_perspective[third person], has_multiplayer[no])",Earlier you mentioned liking Life is Strange. Are you typically down with single-player games that have a third person perspective?
"verify_attribute(name[NHL 15], release_year[2014], rating[average], platforms[PlayStation])","You said you didn't love or hate PlayStation games from back in 2014, such as NHL 15. Is that true generally? "
"verify_attribute(name[Transport Tycoon], rating[average], has_mac_release[no])","Do you usually find games without a Mac release inadequate, or just Transport Tycoon?"
"verify_attribute(name[Max Payne], rating[good], genres[action-adventure, shooter], player_perspective[third person])",You said you had a good time with Max Payne. Are many of your favorite games third person action-adventure shooters?
"verify_attribute(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], genres[music])",You mentioned disliking Dance Dance Revolution Universe 3. Are you generally not fond of music games from Konami?
"verify_attribute(name[Football Manager 2015], rating[good], genres[simulation, sport, strategy], has_multiplayer[yes])",You said previously that you liked Football Manager 2015. Are you typically a fan of multiplayer simulation games featuring sports and strategy?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], player_perspective[third person])",You had good things to say about Need for Speed: Most Wanted. Is that usually your opinion of games with a third person perspective?
"verify_attribute(name[Tony Hawk's Pro Skater 3], rating[average], genres[sport], has_multiplayer[yes])","I know you didn't hate Tony Hawk's Pro Skater 3, but didn't love it either. Do you feel kinda the same way about other sports games with multiplayer?"
"verify_attribute(name[Far Cry 3], rating[good], genres[action-adventure, shooter], has_multiplayer[yes])",Earlier you mentioned that you like Far Cry 3. Is it safe to assume you like most action-adventure shooters with multiplayer?
"verify_attribute(name[Driver], rating[average], genres[driving/racing, simulation], has_mac_release[yes])","I know you are not the biggest fan of Driver, but do you generally feel ambivalent towards most driving/racing simulators on Mac?"
