mr,ref
request(specifier[rewarding]),Is their a video game you know of that felt very rewarding to play?
"request(release_year[2013], specifier[longest])","Of the games released in 2013, which do you think was the longest?"
request(specifier[first]),What was the first game you played this year?
"request(genres[role-playing, text adventure], specifier[shortest])",What's the shortest role-playing text adventure game you know of?
"request(has_linux_release[no], specifier[cheap])",Have you played any cheap games lately that don't have a Linux release?
"request(genres[real-time strategy, simulation], specifier[other])",What other real-time strategy simulator have you played?
"request(genres[driving/racing], specifier[complicated])",What would you say is a good example of a complicated driving/racing game?
"request(has_multiplayer[no], specifier[epic])",Can you recommend any single-player games with epic storylines?
request(specifier[annoying]),Have you played a game lately that you found annoying?
request(specifier[scary]),Have you ever played a game that you found scary?
"request(has_multiplayer[no], specifier[epic])",What's the most epic single-player game that you played recently?
request(specifier[surprising]),What's a game whose quality you found surprising?
request(specifier[last]),What's the last video game you played?
request(specifier[newest]),What's the newest game that you've played lately?
request(specifier[last]),What's the last video game you finished?
"request(available_on_steam[yes], specifier[challenging])",Are there any challenging games you like that are on Steam?
request(specifier[thrilling]),Are there any games you find really thrilling?
"request(player_perspective[first person], specifier[oldest])",What's the oldest game with a first person perspective that you ever played?
"request(developer[Overkill Software], specifier[empowering])",What do you think is a good example of an empowering game developed by Overkill Software?
request(specifier[nostalgic]),Is there a game that makes you feel nostalgic?
request(specifier[unusual]),Are there any unusual games you would recommend?
"request(genres[adventure, indie], specifier[short])",Do you know any short indie adventure games I could pick up?
"request(genres[action-adventure, role-playing, shooter], specifier[gory])","What's a really gory role playing action-adventure shooter? I'm looking for blood, you know?"
"request(developer[Neversoft Entertainment], specifier[other])",What other game developed by Neversoft Entertainment have you played?
request(specifier[realistic]),What's a good realistic game?
"request(player_perspective[first person], specifier[exhilarating])","I'm looking for a game from a first person perspective that is really exhilarating, is there one you would recommend to me?"
request(specifier[upcoming]),Are there any upcoming games you're interested in?
"request(genres[role-playing, text adventure], specifier[shortest])",What's the shortest RPG text adventure you know of? I'm looking for something quick.
"request(release_year[2014], specifier[terrible])",What's a truly terrible game released in 2014 that you know of?
request(specifier[last]),What is the last game you played?
"request(genres[action, platformer, strategy], specifier[fun])",Have you played any fun action strategy platformers lately?
request(specifier[addictive]),Are there any games you find really addictive?
"request(platforms[Xbox], specifier[easiest])",What's the easiest game you've played on the Xbox?
"request(developer[Hazelight Studios], specifier[classic])",Did Hazelight Studios make any classic games?
request(specifier[oldest]),What's the oldest video game you ever played?
request(specifier[annoying]),Have you ever played a game that you just found annoying?
"request(player_perspective[third person], specifier[dynamic])",What's your favorite dynamic third person game?
request(specifier[short]),What's a nice short game I could play tonight?
"request(has_multiplayer[yes], specifier[addictive])",Have you ever encountered a multiplayer game that was truly addictive?
request_attribute(esrb[]),What is your favorite ESRB content rating?
request_attribute(genres[]),What video game genre is the best in your opinion?
request_attribute(developer[]),Who is your favorite game developer?
request_attribute(platforms[]),What's your favorite platform for games?
request_attribute(available_on_steam[]),Are games that are available on Steam more likely to make it into your game library?
request_attribute(esrb[]),"If the ESRB rating of a game matters to you, which one do you normally go with?"
request_attribute(esrb[]),Do you generally look at the ESRB content rating of a game before playing it?
request_attribute(platforms[]),Which platform is your choice for gaming?
request_attribute(has_mac_release[]),Do you play video games on the Mac OS?
request_attribute(release_year[]),Do you have a favorite release year for video games?
request_attribute(has_mac_release[]),Do you use Mac as a platform for your gaming?
request_attribute(has_linux_release[]),Does it matter to you if you can play a game on a Linux OS?
request_attribute(has_linux_release[]),Do you play games on Linux at all?
request_attribute(has_multiplayer[]),"Do you enjoy playing games in multiplayer, with other people?"
request_attribute(has_mac_release[]),Do you think Mac is a better gaming platform than others?
request_attribute(release_year[]),Which year do you think was the best for games?
request_attribute(esrb[]),Is there a particular ESRB content rating a game must have for you to even consider it?
request_attribute(developer[]),Do you have a preference for certain game developers?
request_attribute(esrb[]),"If the content rating is important to you, which ESRB label do you mostly like your games to have?"
"request_explanation(developer[Square], rating[excellent], platforms[PC])",What do you find so incredible about Square's PC games?
"request_explanation(rating[poor], player_perspective[bird view], available_on_steam[yes])",What is it about the bird view perspective games released on Steam that makes you dislike them so much?
"request_explanation(rating[excellent], genres[action-adventure, shooter], player_perspective[third person])","I'm curious, what makes third person action-adventure shooters so special to you?"
"request_explanation(rating[good], player_perspective[third person])","So I've been wondering for a while now, what is it about third person games that makes you feel they're good?"
"request_explanation(esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter])",Why do you think M rated action adventure shooters are so amazing?
"request_explanation(release_year[2018], rating[excellent])",What do you find so amazing about games from 2018?
"request_explanation(rating[good], genres[adventure, point-and-click])",Why do you enjoy point and click adventure games so much?
"request_explanation(developer[Hudson Soft], rating[average], player_perspective[bird view])",What is it about the bird view perspective games made by Hudson Soft that makes you find them to be neither good nor terrible?
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",Why do you think that the PlayStation releases from Codemasters Southam are just mediocre?
"request_explanation(developer[Blizzard North], rating[good], genres[hack-and-slash, role-playing])",What is it about the hack-and-slash RPGs made by Blizzard North that you find fun to play?
"request_explanation(esrb[M (for Mature)], rating[good], genres[role-playing])",What is it about M rated RPGs that makes you enjoy them like you do?
"request_explanation(rating[good], player_perspective[third person])",Why do you have so much fun with third person games?
"request_explanation(rating[poor], player_perspective[bird view], has_multiplayer[yes])",Why do you not like multiplayer games with a bird view perspective?
"request_explanation(rating[poor], platforms[Xbox])",What about the Xbox do you find so unappealing?
"request_explanation(rating[excellent], genres[action-adventure, shooter], player_perspective[third person])",Why do you love third person action-adventure shooters so much?
"request_explanation(rating[good], platforms[PlayStation])",What is it you like about games on PlayStation?
"request_explanation(rating[good], genres[driving/racing, simulation, sport], player_perspective[third person])",How come you prefer sport racing sim games with a third person view?
"request_explanation(developer[Days of Wonder], rating[poor])",What is it about games made by Days of Wonder that makes you unable to stand them?
"request_explanation(rating[good], player_perspective[side view])",Why do you find side view games so enjoyable?
"request_explanation(developer[Valve Corporation], rating[excellent], platforms[PC])",Why do you think that the PC games made by Valve Corporation are amazing?
"request_explanation(release_year[1993], developer[Hudson Soft], rating[average])",Why are you unimpressed by Hudson Soft's 1993 catalog of games?
"request_explanation(rating[excellent], player_perspective[third person], has_multiplayer[yes])",I can't help but wonder why you like third person multiplayer games so much.
"request_explanation(esrb[M (for Mature)], rating[poor])",What is it about M rated games that you find so off-putting?
"request_explanation(rating[excellent], player_perspective[third person], available_on_steam[yes])",How come you're so fond of third person games on Steam?
"request_explanation(rating[good], has_multiplayer[yes], available_on_steam[yes])",Why do you like to play multiplayer games on Steam?
"request_explanation(developer[Telltale Games], rating[good])",Can you please explain to me a bit more about why you enjoy games developed by Telltale Games?
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",What is it about Codemasters Southam's PlayStation games that makes you say they're just average?
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",What makes you adore Valve Corporation's single-player games like do?
"request_explanation(release_year[2017], rating[excellent], platforms[PC])","I was curious, what is it about the PC games released in 2017 that you feel makes them so great?"
"request_explanation(developer[Codemasters Southam], rating[average], genres[driving/racing, sport])",What is it about the sport racing games made by Codemasters Southam that makes you find them merely average?
"request_explanation(esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter])","If you don't mind answering, why do you love M rated action-adventure shooters so much?"
"request_explanation(release_year[2010], developer[Firaxis Games], rating[good])",Why do you think that the games Firaxis Games released in 2010 are pretty fun?
"request_explanation(release_year[2010], developer[Firaxis Games], rating[good])",What do you enjoy about 2010 games released by Firaxis Games?
"request_explanation(release_year[2005], rating[excellent])",What is it about games released in 2005 that makes you think it's such a fantastic year for video games?
"request_explanation(rating[excellent], player_perspective[third person], has_multiplayer[yes])",What is it about third person multiplayer games that makes you such a huge fan of them?
"request_explanation(rating[poor], genres[indie, trivia/board game])",Why don't you ever enjoy indie trivia/board games?
"request_explanation(developer[Ubisoft Montreal], rating[good])",Why do you like games from Ubisoft Montreal?
"request_explanation(developer[Blizzard North], rating[good], has_mac_release[yes])",How do you find playing Blizzard North games fun on Mac?
"request_explanation(rating[poor], has_mac_release[yes])",What is it about games that have a Mac release that makes you hate them?
"request_explanation(rating[poor], player_perspective[bird view], has_multiplayer[yes])",What specifically isn't fun about multiplayer games played from a bird view perspective?
"request_explanation(esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter])",So what aspects of M rated action-adventure shooters makes you say they're excellent?
"request_explanation(rating[poor], genres[text adventure], available_on_steam[yes])",Why don't you like to play text adventure games on Steam?
"request_explanation(rating[average], genres[sport], has_multiplayer[yes])",So what is it about multiplayer sports games that you find so average?
"request_explanation(rating[excellent], platforms[PC])",Why do you love playing games on the PC more than any other platforms?
"request_explanation(developer[Square], rating[excellent], platforms[PC])",I wonder why you love PC games made by Square so much.
"request_explanation(developer[Ninja Theory], rating[excellent], player_perspective[third person])",What's so excellent about Ninja Theory's third person games?
"request_explanation(release_year[2017], rating[poor], genres[text adventure])",So why don't you like the text adventure games that have been released in 2017?
"request_explanation(release_year[2017], rating[poor], genres[text adventure])",What's wrong with text adventure games from 2017?
"request_explanation(rating[poor], genres[text adventure], available_on_steam[yes])",What is it about the text adventure games available on Steam that makes you think they're of such poor quality?
"request_explanation(rating[average], genres[driving/racing, sport], platforms[PlayStation])",Why do you think PlayStation's racing sports games are typically nothing extraordinary?
"request_explanation(rating[excellent], genres[driving/racing, fighting, shooter], player_perspective[third person])","Now I'm wondering, why do you find third person driving/racing shooter games with fighting elements to be so fantastic?"
"request_explanation(esrb[M (for Mature)], rating[excellent])","Why do you always seem to really, really love M rated games?"
"request_explanation(esrb[T (for Teen)], rating[average], genres[sport])",Why do you feel that T rated sports games are in general merely okay?
"request_explanation(developer[Ninja Theory], rating[excellent], player_perspective[third person])",Why are the third person games made by Ninja Theory some of your favorite games ever?
"request_explanation(esrb[M (for Mature)], rating[poor])",What do you dislike about M rated games?
"request_explanation(esrb[M (for Mature)], rating[excellent], platforms[PlayStation])",What is it about M rated PlayStation games you love so much?
"request_explanation(rating[good], genres[driving/racing, simulation, sport], player_perspective[third person])",Why do you like a third person perspective in sport racing simulators?
"request_explanation(rating[good], genres[adventure, platformer, puzzle])",What is it you find interesting about adventure platformers with puzzles?
"request_explanation(developer[Valve Corporation], rating[excellent], platforms[PC])",Why do you find Valve Corporation's PC games to be top tier?
"request_explanation(rating[poor], has_multiplayer[no])","If you don't mind me asking, why is it if a game doesn't have multiplayer you just don't like it at all?"
"request_explanation(release_year[2017], developer[Grimlore Games], rating[poor])",Why do you think Grimlore Games made such poor games in 2017?
"request_explanation(developer[Illusion Softworks], rating[excellent], platforms[Xbox])","I'm really curious now, what is it about the Xbox games made by Illusion Softworks that makes you think they're so amazing?"
"suggest(name[Mirror's Edge Catalyst], release_year[2016], esrb[T (for Teen)])","I'm curious if you like any games rated T (for Teen) from 2016, like Mirror's Edge Catalyst?"
"suggest(name[Tetris], release_year[1986])","I was wondering, have you ever played a game that was released way back in 1986, like for example Tetris?"
"suggest(name[Rocket League], release_year[2015], developer[Psyonix])",Are you into Psyonix? Have you tried out their 2015 hit Rocket League?
"suggest(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy])",Do you sometimes play turn based RPG games like Might & Magic: Heroes VI?
"suggest(name[Silent Hill 2], genres[action-adventure, puzzle], player_perspective[third person])","I'm curious, do you like to play third person action-adventure puzzle games, such as Silent Hill 2?"
"suggest(name[Guitar Hero: Smash Hits], platforms[Nintendo])","Do you like games available on the Nintendo, such as Guitar Hero: Smash Hits?"
"suggest(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])","I was wondering, have you played any strategy action platformers with a side view perspective, like for example Worms: Reloaded?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd])","Do you have any experience with games made by Team17 Digital Ltd, like for example Worms: Reloaded?"
"suggest(name[Rocket League], genres[sport, vehicular combat], player_perspective[third person])",Are you into third person sport games with vehicular combat like Rocket League?
"suggest(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])","Do you also enjoy side view platformers involving both action and strategy, such as Worms: Reloaded?"
"suggest(name[The Witcher 3: Wild Hunt], release_year[2015], developer[CD Projekt RED])","Have you played any of the games by CD Projekt RED from 2015, for example The Witcher 3: Wild Hunt?"
"suggest(name[Bus Driver], developer[SCS Software], has_mac_release[no])","You ever played one of SCS Software's PC games although without a Mac release, like Bus Driver?"
"suggest(name[The Sims], esrb[T (for Teen)], player_perspective[bird view])",Do you also like bird view games rated T (for Teen) such as The Sims?
"suggest(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment])","I am curious to know if remember ever playing a game made by Black Hole Entertainment, such as Might & Magic: Heroes VI."
"suggest(name[Metro 2033], release_year[2010], platforms[Xbox])","I'm wondering, have you played any 2010 Xbox games, like for example Metro 2033?"
"suggest(name[Little Big Adventure], has_multiplayer[no], platforms[PC])","What do you think of PC games with no multiplayer, just like that Little Big Adventure? Could that be fun?"
"suggest(name[Rocket League], release_year[2015], has_multiplayer[yes])","What do you think of the multiplayer aspect of the 2015 release, Rocket League?"
"suggest(name[Mirror's Edge Catalyst], release_year[2016], has_multiplayer[yes])",Do you enjoy games from 2016 with multiplayer like Mirror's Edge Catalyst?
"suggest(name[The Witcher 3: Wild Hunt], release_year[2015], developer[CD Projekt RED])","Do you also like other games from 2015 made by CD Projekt RED, like The Witcher 3: Wild Hunt?"
"suggest(name[Metro 2033], developer[4A Games], platforms[Xbox])",Do you like 4A Games' titles on Xbox such as Metro 2033?
"suggest(name[Little Big Adventure], developer[Adeline Software International], player_perspective[third person])",Have you played any third person games by Adeline Software International like Little Big Adventure?
"suggest(name[Little Big Adventure], developer[Adeline Software International], player_perspective[third person])","Do you like third person games from Adeline Software International, such as Little Big Adventure?"
"suggest(name[Bus Driver], esrb[E (for Everyone)], available_on_steam[yes])","Do you tend to play any E rated games on Steam, like for example Bus Driver?"
"suggest(name[Resident Evil 4], available_on_steam[yes])","Have you tried out games on Steam, like Resident Evil 4?"
"suggest(name[NBA 2K16], release_year[2015], developer[Visual Concepts])","Do you have any experience with one of the games released by Visual Concepts in 2015, such as NBA 2K16?"
"suggest(name[Undertale], developer[tobyfox], has_multiplayer[no])","Would you be interested in trying any single-player games by tobyfox, such as Undertale?"
"suggest(name[NBA 2K16], esrb[E 10+ (for Everyone 10 and Older)], genres[sport])",Are you into E10+ sports games like NBA 2K16?
"suggest(name[Portal 2], release_year[2011])","Do you still play games from 2011, such as Portal 2, by any chance?"
"suggest(name[Super Bomberman], esrb[E (for Everyone)], player_perspective[bird view])","So I'm curious, have you played any E rated games with a bird view perspective, like for example Super Bomberman?"
"suggest(name[The Witcher 3: Wild Hunt], release_year[2015], esrb[M (for Mature)])","Do you have any of the games rated M (for Mature) that came out in 2015 on your wish list, such as The Witcher 3: Wild Hunt?"
"suggest(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], esrb[M (for Mature)])","I'm curious, would you be interested in playing any M rated games developed by Ubisoft Montreal, such as Tom Clancy's Splinter Cell: Chaos Theory?"
"suggest(name[Resident Evil 4], available_on_steam[yes])","So do you have any experience playing games on Steam, like for example Resident Evil 4?"
"suggest(name[Super Bomberman], release_year[1993], esrb[E (for Everyone)])","Are you a fan of E rated classic games, like the 1993 hit Super Bomberman?"
"suggest(name[The Witcher 3: Wild Hunt], developer[CD Projekt RED], platforms[Xbox])","Are you into games on the Xbox? If you are, you should check out CD Projekt RED's The Witcher 3: Wild Hunt."
"suggest(name[Tony Hawk's Pro Skater 3], has_multiplayer[yes], platforms[PlayStation])","have you given any multiplayer PlayStation games a try, like Tony Hawk's Pro Skater 3?"
"suggest(name[Metro 2033], release_year[2010], developer[4A Games])","So I was wondering, have you played any of the 2010 games developed by 4A Games, for instance Metro 2033?"
"suggest(name[Super Bomberman], release_year[1993], developer[Hudson Soft])","Just curious, what do you think of games by Hudson Soft released in 1993, such as Super Bomberman?"
"suggest(name[Metro 2033], developer[4A Games], platforms[Xbox])",Do you also like any Xbox games by 4A Games such as Metro 2033?
"suggest(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy])","I was wondering if you had any experience with turn-based strategy games with role-playing elements, for example games like Might & Magic: Heroes VI."
"suggest(name[The Witcher 3: Wild Hunt], genres[action-adventure, role-playing], player_perspective[third person])","Do you have an opinion on third person action-adventure role-playing games, such as The Witcher 3: Wild Hunt?"
"suggest(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])",Do you enjoy side view action platformer strategy games like Worms: Reloaded?
"suggest(name[RollerCoaster Tycoon], genres[simulation, strategy], player_perspective[bird view])","I've been thinking about buying a simulation strategy game that uses a bird view perspective, would you recommend RollerCoaster Tycoon?"
"suggest(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment])","Are you a fan of games made by Black Hole Entertainment, such as Might & Magic: Heroes VI?"
"suggest(name[The Sims], release_year[2000], developer[Maxis])",Do you like Maxis' games from 2000 like The Sims?
"suggest(name[Tony Hawk's Pro Skater 3], genres[sport], player_perspective[third person])","I'm wondering if you like third person sport games, such as Tony Hawk's Pro Skater 3?"
"suggest(name[Super Bomberman], player_perspective[bird view], has_multiplayer[no])","What is your opinion on bird's eye view games that have no multiplayer option, such as Super Bomberman? Any of them good?"
"suggest(name[Silent Hill 2], esrb[M (for Mature)], platforms[PC])","Do you enjoy M rated PC games, like for example Silent Hill 2?"
"suggest(name[BioShock], developer[2K Boston], available_on_steam[yes])","Just curious, do you think 2K Boston's games available on Steam are any good, for instance BioShock?"
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","Do you enjoy multiplayer sports games with vehicular combat, like MotorStorm: Apocalypse?"
"suggest(name[Age of Empires II: The Age of Kings], has_mac_release[yes])","Do you ever play the Mac version of games when they have it, like Age of Empires II: The Age of Kings?"
"suggest(name[Little Big Adventure], has_multiplayer[no], platforms[PC])","Do you enjoy playing single-player PC games, like Little Big Adventure?"
"suggest(name[Tetris], developer[Spectrum HoloByte, Inc.])","If you don't mind me asking, have you ever played a game that was developed by Spectrum HoloByte, Inc., like for example Tetris?"
"suggest(name[Undertale], release_year[2015], developer[tobyfox])","Have you enjoyed played any games by tobyfox that came out in 2015, such as Undertale?"
"suggest(name[Little Big Adventure], release_year[1994], developer[Adeline Software International])","Do you have any good experience with Adeline Software International's 1994 games, for instance, Little Big Adventure?"
"suggest(name[Metro 2033], release_year[2010], platforms[Xbox])","Just curious, have you enjoyed any Xbox games that came out in 2010, such as Metro 2033?"
"suggest(name[Resident Evil 4], developer[Capcom Production Studio 4])","So I've been curious, have you ever played a game made by Capcom Production Studio 4, such as Resident Evil 4?"
"suggest(name[Bus Driver], developer[SCS Software], available_on_steam[yes])","You ever played one of SCS Software's games on Steam, like for example Bus Driver?"
"suggest(name[BioShock], has_mac_release[yes])","Have you had fun with other Mac games, like BioShock?"
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","I was wondering, do you enjoy multiplayer vehicular combat games, like for instance MotorStorm: Apocalypse?"
"suggest(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios])","I wonder, have you played any titles from Ensemble Studios, like Age of Empires II: The Age of Kings?"
"suggest(name[NBA 2K16], player_perspective[third person], platforms[PlayStation])","Have you played any third person games for the PlayStation, like NBA 2K16?"
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",I know you thought that the M rated The Elder Scrolls V: Skyrim was good. Do you generally prefer games that have the M (for Mature) rating?
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])",I know you enjoyed BioShock a fair amount. Would you say that you like to play M rated games in general?
"verify_attribute(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good], genres[driving/racing])","Previously you told me you like to play racing games like Need for Speed: Most Wanted. So, do you play other games from EA Redwood Shores?"
"verify_attribute(name[Lara Croft and the Temple of Osiris], developer[Crystal Dynamics], rating[average], platforms[PC])","So if I remember right, you feel that Lara Croft and the Temple of Osiris is thoroughly average in quality. Do you feel the same about the rest of Crystal Dynamics' PC game lineup?"
"verify_attribute(name[World of Warcraft], rating[good], genres[adventure, MMORPG])","You mentioned that World of Warcraft was pretty good in your book. In general, do you find adventure MMORPGs to be fun?"
"verify_attribute(name[Silent Hill 2], esrb[M (for Mature)], rating[excellent], player_perspective[third person])",You told me you loved Silent Hill 2. Do you love other third person games rated M (for Mature)?
"verify_attribute(name[Football Manager 2015], release_year[2014], rating[good], genres[simulation, sport, strategy])",I was surprised when you told me you liked Football Manager 2015. Do you like other sports sim strategy title from 2014?
"verify_attribute(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good], genres[driving/racing])",I remember you saying you thought that Need for Speed: Most Wanted was good. Do you like any other EA Redwood Shores driving/racing games?
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor], available_on_steam[yes])",I recall that you disliked Small World 2. Have you never been fond of games from Days of Wonder on Steam?
"verify_attribute(name[NHL 15], rating[average], genres[simulation, sport], player_perspective[bird view])","You said you were indifferent towards NHL 15. Typically, do you feel similar to other play bird's-eye view sport simulations?"
"verify_attribute(name[Rollcage], developer[Attention To Detail], rating[average], genres[action, driving/racing])",I remember you telling me that you didn't feel too strongly about Rollcage. But does that opinion also hold true for other action racing games by Attention To Detail?
"verify_attribute(name[The Forest of Doom], developer[Tin Man Games], rating[average], available_on_steam[yes])",I know you mentioned you felt that The Forest of Doom was just an okay game. Would you say the selection of Tin Man Games on Steam lacks more solid games?
"verify_attribute(name[Worms: Reloaded], rating[average], genres[action, platformer, strategy])","Do you find all action strategy platformers lukewarm, or just Worms: Reloaded?"
"verify_attribute(name[Guitar Hero: Smash Hits], esrb[T (for Teen)], rating[poor], platforms[Nintendo])",You mentioned disliking Guitar Hero: Smash Hits. Is this the case for all Nintendo games rated T?
"verify_attribute(name[Small World 2], rating[poor], genres[indie, trivia/board game])",You've mentioned how bad Small World 2 was. Do you just not enjoy indie games in the trivia/board game genre at all?
"verify_attribute(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], player_perspective[third person])","So you said that you had a good time playing Assassin's Creed II. Generally speaking, do you like playing third person action-adventure platformers?"
"verify_attribute(name[Rollcage], developer[Attention To Detail], rating[average], genres[action, driving/racing])",You mentioned that you didn't hate Rollcage but it didn't impress you either. Do you think there is a lot to improve in all action racing games developed by Attention To Detail?
"verify_attribute(name[World of Warcraft], rating[good], genres[adventure, MMORPG])","Do you find playing adventure MMORPGs fun, or did you just enjoy World of Warcraft?"
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], platforms[PlayStation])","You like Uncharted 4: A Thief's End a lot, I remember. Would you have even touched it though if it wasn't on the PlayStation?"
"verify_attribute(name[Tomb Raider: The Last Revelation], rating[good], player_perspective[third person], platforms[PlayStation])",I remember you saying that you enjoy Tomb Raider: The Last Revelation. Would you say you strongly prefer third person perspective games on PlayStation?
"verify_attribute(name[Need for Speed: The Run], developer[Firebrand Games], rating[average], genres[driving/racing])",Earlier you said you found Need for Speed: The Run to be average. Are you typically not very impressed by driving/racing games from Firebrand Games?
"verify_attribute(name[Tetris], release_year[1986], rating[excellent], platforms[Nintendo])","You said that Tetris was one of your all time favorite games. Was 1986 a great year for Nintendo games overall, or was it just this game?"
"verify_attribute(name[Commandos: Behind Enemy Lines], release_year[1998], developer[Pyro Studios], rating[good])",You previously mentioned liking Commandos: Behind Enemy Lines. Generally are you a fan of games from 1998 by Pyro Studios?
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])",I know you thought that Uncharted 4: A Thief's End was a truly excellent game. Do you also love other games that have a multiplayer option?
"verify_attribute(name[Max Payne], developer[Remedy Entertainment], esrb[M (for Mature)], rating[good])","So you found Max Payne to be enjoyable to play, if I remember right. Do you also enjoy Remedy Entertainment's other M rated games?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], player_perspective[third person])",I remember you said you enjoyed Need for Speed: Most Wanted. Would you say you are a fan of third person driving/racing games?
"verify_attribute(name[Euro Truck Simulator], developer[SCS Software], rating[poor], available_on_steam[yes])","You said earlier that you found Euro Truck Simulator to not be very enjoyable. Do you dislike games developed by SCS Software on Steam, in general?"
"verify_attribute(name[Driver], developer[Reflections Interactive], esrb[T (for Teen)], rating[average])","A moment ago you said that Driver was simply okay, not bad, not good. Would you say that games by Reflections Interactive labelled with the T rating are simply missing something?"
"verify_attribute(name[Football Manager 2015], rating[good], genres[simulation, sport, strategy], has_multiplayer[yes])","I agree, playing Football Manager 2015 with friends online has been pretty fun. Do you normally like playing sports strategy simulations?"
"verify_attribute(name[Max Payne], rating[good], genres[action-adventure, shooter], platforms[PC])",I remember you mentioned that you liked Max Payne on the PC. Do you feel this way about the other action-adventure shooter games?
"verify_attribute(name[Rocket League], rating[good], genres[sport, vehicular combat], player_perspective[third person])",Earlier you said you enjoyed Rocket League. Do you frequently prefer third person sports games featuring vehicular combat?
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",So you mentioned that you thought The Elder Scrolls V: Skyrim was a fun game. Do you have similar thoughts about other M rated games?
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","Hey, so you enjoyed BioShock. Is such an action-adventure shooter style of games with RPG elements something you dig?"
"verify_attribute(name[Need for Speed: Payback], esrb[T (for Teen)], rating[poor], genres[driving/racing])",You said earlier that you didn't like Need for Speed: Payback. Are you usually not fond of driving/racing games rated T (for Teen)?
"verify_attribute(name[The Vanishing of Ethan Carter], developer[The Astronauts], rating[average], platforms[Xbox])","You said you felt so-so about The Vanishing of Ethan Carter. In general, would you say you felt the same about other releases from The Astronauts on Xbox?"
"verify_attribute(name[Tom Clancy's The Division], rating[average], has_multiplayer[yes], platforms[PC])",You said earlier that multiplayer on Tom Clancy's The Division was average. Do you find that opinion true for most PC games.
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])",I remember you telling me that you didn't like Small World 2. Would you say you're overall not a fan of games by Days of Wonder?
"verify_attribute(name[Small World 2], rating[poor], available_on_steam[yes])","Do you tend to not enjoy playing games on Steam, or is it just a problem with Small World 2?"
"verify_attribute(name[Max Payne], rating[good], genres[action-adventure, shooter], player_perspective[third person])",You said that you enjoyed Max Payne. Is this the case with all action-adventure third person shooter games?
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])",I know that BioShock is a game you like. Is the first person player perspective a preference of yours in the games you play?
"verify_attribute(name[Tom Clancy's The Division], release_year[2016], rating[average], player_perspective[third person])",Previously you told me that you aren't a real big fan of Tom Clancy's The Division. Do you prefer third person shooters from a different year than 2016?
"verify_attribute(name[Stronghold 2], rating[average], genres[real-time strategy, simulation], platforms[PC])",You said earlier that you were not that fond of Stronghold 2. Is that often the case with real-time strategy simulation games for the PC?
"verify_attribute(name[Skyforge], rating[poor], player_perspective[third person], available_on_steam[yes])",You said that you disliked Skyforge. Does that mean it's safe to assume that you dislike third person games on Steam in general?
"verify_attribute(name[Guitar Hero: Smash Hits], esrb[T (for Teen)], rating[poor], platforms[Nintendo])",You said earlier that you didn't like Guitar Hero: Smash Hits. Are you generally not a fan of Nintendo games rated T (for Teen)?
"verify_attribute(name[Worms: Reloaded], developer[Team17 Digital Ltd], rating[average])","I wonder if you think Team17 Digital Ltd is no more than an average developer, or rather that Worms: Reloaded was just an anomaly for them."
"verify_attribute(name[Life is Strange], developer[Dontnod Entertainment], rating[good], genres[role-playing])",You mentioned earlier that you liked Life is Strange. Are you commonly fond of role-playing games from Dontnod Entertainment?
"verify_attribute(name[Commandos: Behind Enemy Lines], rating[good], player_perspective[bird view], has_multiplayer[yes])","Earlier, you said you liked Commandos: Behind Enemy Lines. Do you usually enjoy multiplayer games from a bird's-eye view?"
